river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
PEP,1,"Lake Pepin below Lake City, MN",PEP1,105,Common Carp,detritivore,675,14.3274942,-30.11126603,10.16022537,57.80217564,5.689064319,2.192483265
PEP,1,"Lake Pepin below Lake City, MN",PEP1,106,Largemouth Bass,piscivore,410,16.0740116,-26.79264053,14.9462084,49.19188389,3.291261742,2.706164853
PEP,1,"Lake Pepin below Lake City, MN",PEP1,107,Yellow Perch,invertivore,215,16.7593156,-25.5319753,14.36987513,45.82555481,3.189001603,2.907724853
PEP,1,"Lake Pepin below Lake City, MN",PEP1,108,Bluegill,invertivore,190,15.3483956,-26.80353214,14.81261916,48.14453887,3.250238082,2.492748382
PEP,1,"Lake Pepin below Lake City, MN",PEP1,109,Common Carp,detritivore,635,15.3534346,-29.81063956,10.54838668,55.34631956,5.246899003,2.494230441
PEP,1,"Lake Pepin below Lake City, MN",PEP1,110,Bowfin,piscivore,590,16.4993032,-26.37921841,14.06052711,48.82703769,3.472632093,2.831250618
PEP,1,"Lake Pepin below Lake City, MN",PEP1,111,Yellow Perch,invertivore,285,17.3750814,-26.03811791,14.93988717,48.20479019,3.226583282,3.088832441
PEP,1,"Lake Pepin below Lake City, MN",PEP1,112,Yellow Perch,invertivore,160,15.9641614,-25.51869426,14.94745129,47.79551248,3.197569375,2.673855971
PEP,1,"Lake Pepin below Lake City, MN",PEP1,113,Shorthead Redhorse,invertivore,460,15.694071,-26.64671868,14.61427389,47.18463317,3.228667638,2.594417618
PEP,1,"Lake Pepin below Lake City, MN",PEP1,114,Bowfin,piscivore,685,17.9354182,-27.55169926,12.87573303,52.39816958,4.069529048,3.253637382
PEP,1,"Lake Pepin below Lake City, MN",PEP1,115,Gizzard Shad,planktivore,270,15.45919267,-31.89207866,9.429873531,49.63897151,5.264012433,2.525335757
PEP,1,"Lake Pepin below Lake City, MN",PEP1,116,Gizzard Shad,planktivore,295,15.6109512,-31.71845716,9.770401989,49.13193415,5.028650224,2.569970617
PEP,1,"Lake Pepin below Lake City, MN",PEP1,117,Common Carp,detritivore,775,15.41348412,-31.42584415,7.041486042,58.00524914,8.237643133,2.511892066
PEP,1,"Lake Pepin below Lake City, MN",PEP1,118,Common Carp,detritivore,640,14.37012508,-28.4669439,11.99301366,48.68387723,4.059353105,2.205021758
PEP,1,"Lake Pepin below Lake City, MN",PEP1,119,Common Carp,detritivore,610,15.43347036,-30.97281195,7.938846673,56.92045824,7.169864917,2.517770371
PEP,1,"Lake Pepin below Lake City, MN",PEP1,120,Largemouth Bass,piscivore,410,18.41650575,-27.51397999,12.94370429,46.79227572,3.615060626,3.395133721
PEP,1,"Lake Pepin below Lake City, MN",PEP1,121,Shorthead Redhorse,invertivore,425,14.88176531,-28.2314463,11.60105218,44.69673869,3.852817658,2.355504178
PEP,1,"Lake Pepin below Lake City, MN",PEP1,122,Bluegill,invertivore,160,15.04428211,-29.30799895,12.18933268,46.98020657,3.854206607,2.403303238
PEP,1,"Lake Pepin below Lake City, MN",PEP1,123,Smallmouth Bass,,255,17.7549896,-27.20414056,13.64268387,44.72427431,3.278260696,3.200570147
PEP,1,"Lake Pepin below Lake City, MN",PEP1,124,Largemouth Bass,,270,17.72125317,-27.38549028,13.7286798,44.15885084,3.216540226,3.190647668
PEP,1,"Lake Pepin below Lake City, MN",PEP1,125,Bluegill,invertivore,120,15.67097092,-27.40787927,14.0097058,45.64890538,3.258377158,2.587623476
PEP,1,"Lake Pepin below Lake City, MN",PEP1,126,Shorthead Redhorse,invertivore,440,15.77577121,-27.70308857,12.64249162,47.53486744,3.759928729,2.618447092
PEP,1,"Lake Pepin below Lake City, MN",PEP1,127,Smallmouth Bass,piscivore,400,18.03455351,-27.45843285,13.79651766,46.43657047,3.365818218,3.282794826
PEP,1,"Lake Pepin below Lake City, MN",PEP1,128,Shorthead Redhorse,invertivore,385,15.78390076,-27.79730631,12.80056055,44.86708389,3.505087429,2.620838135
PEP,1,"Lake Pepin below Lake City, MN",PEP1,129,Silver redhorse,invertivore,550,15.92128948,-27.89655339,12.03891539,48.85033864,4.057702629,2.661246582
PEP,1,"Lake Pepin below Lake City, MN",PEP1,130,Silver redhorse,invertivore,580,16.27052397,-27.50392061,13.61660845,46.14521007,3.388891604,2.76396261
PEP,1,"Lake Pepin below Lake City, MN",PEP1,131,Drum,invertivore,340,16.07560258,-27.64642948,12.44792441,47.70425585,3.832306038,2.706632787
